owner_id,title,description,category,street,barangay,city,coordinates,image_url,rent,amenities,rating,max_renters,is_available,is_verified,has_internet,allows_pets,is_furnished,has_ac,is_secure,has_parking,number_reviews
43,Spacious 2-Bedroom Furnished Apartment,2 Airconditioned Bedrooms. 1 Airconditioned Living Room. 1 Bathroom. Accessible location.,apartment,,Bagacay,Dumaguete,"9.296696308919854, 123.28917453765833","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",30000,{},NULL,1,true,false,NULL,NULL,true,true,false,true,0
40,Room For Rent in Boloc-boloc,"1. Work from home not allowed 2. Cooking inside the room strictly prohibited 3.No contract but be  not below 6 months stay 4. Aircon cleaning be made every three months and shoulder to the tenant. 5. Liquor and cigarettes strictly not allowed. 6 None boarder strictly not allowed to enter the premises. 7. No any business transactions from 5pm Friday up to 6pm Saturday. Payment: 1 month advance, 2 months deposit. Lease term: 6-12 months. Accessible location.",room,,Boloc-boloc,Sibulan,"9.33225038527047, 123.29416125865735","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room3.jpg""}",3500,{},NULL,3,true,false,true,NULL,true,true,NULL,NULL,0
44,Apartment for Rent,Rooms are Window type AC Ready. Accessible location.,apartment,,Tubtubon,Sibulan,"9.345327095036653, 123.27847208901136","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room4.jpg""}",12000,{},NULL,4,true,false,NULL,NULL,false,false,true,true,0
45,Mangnao 2-Bedroom Flat (2nd Floor),"5 min walk to the beach. 2 Bedroom with Queen size bed AC and smart TV. 1 toilet and Shower with hot & cold water. Living area with Smart TV and sofa set. Dining area with table and chairs. Kitchen with gas stove, dish rack, electric kettle and rice cooker. Balcony area with table and chairs.",apartment,,Mangnao,Dumaguete,"9.29028303363866, 123.30578311988427","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room3.jpg""}",15000,{},NULL,3,true,false,true,NULL,true,true,true,NULL,0
46,Room with Free WiFi and Utilities,"Allowed to cook, has a fridge for use. No curfew. Free electricity and water. Accessible location.",room,,Buñao,Dumaguete,"9.328703648322628, 123.29072190610589","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",5000,{},NULL,2,true,true,NULL,NULL,true,false,NULL,NULL,0
44,Apartment For Rent in Tubtubon,With submeters. Accessible location.,apartment,,Tubtubon,Sibulan,"9.345327095036653, 123.27847208901136","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",10000,{},NULL,4,true,true,NULL,true,true,true,true,true,0
47,House For Rent in Cangmating,Newly renovated. First-time tenant or user. 2 bedrooms.,apartment,,Cangmating,Sibulan,"9.353673399596122, 123.2895441815704","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",12000,{},NULL,3,true,false,NULL,NULL,false,false,true,true,0
44,Diputado Apartment,"2 big rooms, environment friendly.",apartment,,Tubtubon,Sibulan,"9.345327095036653, 123.27847208901136","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",12000,{},NULL,3,true,true,NULL,NULL,false,false,true,true,0
48,Room For Rent in Lower Camanjac,Prferrably students. Visitors allowed. Accessible location.,room,,Lower Camanjac,Dumaguete,"9.322826708510751, 123.2798336029644","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room3.jpg""}",6000,{},NULL,4,true,false,NULL,NULL,true,false,false,true,0
38,Room for 2 Near Cangs,"Good for 2 persons. Payment: 1 month advance, 1 month deposit. Accessible location.",room,,Daro,Dumaguete,"9.315931800763861, 123.30192558608536","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",8000,{},NULL,3,true,false,NULL,NULL,true,true,true,NULL,0
